Title,URL,File type,Filename,Download link,Date first posted,Number of downloads
Performative identity in networked spaces: Resisting the logic of late capitalism in the digital age,https://scholar.colorado.edu/honr_theses/279,Fulltext,Performative identity in networked spaces Resisting the logic of.pdf,https://scholar.colorado.edu/cgi/viewcontent.cgi?article=1474&amp;context=honr_theses,6/16/14,19312
Patterns of Rape in Ovid's Metamorphoses,https://scholar.colorado.edu/honr_theses/48,Fulltext,Patterns of Rape in Ovid s Metamorphoses.pdf,https://scholar.colorado.edu/cgi/viewcontent.cgi?article=1047&amp;context=honr_theses,6/6/14,16057
Killing for a Living: Psychological and Physiological Effects of Alienation of Food Production on Slaughterhouse Workers,https://scholar.colorado.edu/honr_theses/771,Fulltext,Killing for a Living Psychological and Physiological Effects of.pdf,https://scholar.colorado.edu/cgi/viewcontent.cgi?article=2157&amp;context=honr_theses,4/28/15,16044
The True Cost of SIPs: A Comprehensive Tool for Comparing the Price of Residential Structural Insulated Panel and Stick Frame Construction,https://scholar.colorado.edu/honr_theses/817,Fulltext,The True Cost of SIPs A Comprehensive Tool for Comparing the Pri.pdf,https://scholar.colorado.edu/cgi/viewcontent.cgi?article=2109&amp;context=honr_theses,4/29/15,14658
Greening The Festival Industry: Using the Triple Bottom Line Approach to Promote Sustainability in Music Events,https://scholar.colorado.edu/honr_theses/103,Fulltext,Greening The Festival Industry Using the Triple Bottom Line Appr.pdf,https://scholar.colorado.edu/cgi/viewcontent.cgi?article=1102&amp;context=honr_theses,6/6/14,13753
Sympathy for the Devil: Charles Manson's Exploitation of California's 1960s Counter-Culture,https://scholar.colorado.edu/honr_theses/907,Fulltext,Sympathy for the Devil Charles Manson s Exploitation of Californ.pdf,https://scholar.colorado.edu/cgi/viewcontent.cgi?article=2017&amp;context=honr_theses,4/30/15,13432
The Study of Generations: A Timeless Notion within a Contemporary Context,https://scholar.colorado.edu/honr_theses/1169,Fulltext,The Study of Generations A Timeless Notion within a Contemporary.pdf,https://scholar.colorado.edu/cgi/viewcontent.cgi?article=2273&amp;context=honr_theses,5/12/16,13397
Engaging with Postmodernism: An Examination of Literature and the Canon,https://scholar.colorado.edu/honr_theses/423,Fulltext,Engaging with Postmodernism An Examination of Literature and the.pdf,https://scholar.colorado.edu/cgi/viewcontent.cgi?article=1618&amp;context=honr_theses,6/23/14,11869
The Effect of Music Participation on Academic Achievement,https://scholar.colorado.edu/honr_theses/772,Fulltext,The Effect of Music Participation on Academic Achievement.pdf,https://scholar.colorado.edu/cgi/viewcontent.cgi?article=2156&amp;context=honr_theses,4/28/15,9978
Capital Punishment: A Philosophical Rejection of Punishment by Death,https://scholar.colorado.edu/honr_theses/816,Fulltext,Capital Punishment A Philosophical Rejection of Punishment by De.pdf,https://scholar.colorado.edu/cgi/viewcontent.cgi?article=2110&amp;context=honr_theses,4/29/15,8669
Faith and Terror: Religion in the French Revolution,https://scholar.colorado.edu/honr_theses/831,Fulltext,Faith and Terror Religion in the French Revolution.pdf,https://scholar.colorado.edu/cgi/viewcontent.cgi?article=2091&amp;context=honr_theses,4/29/15,7828
Judging a Book By Its Cover: Are First Impressions Accurate?,https://scholar.colorado.edu/honr_theses/281,Fulltext,Judging a Book By Its Cover Are First Impressions Accurate.pdf,https://scholar.colorado.edu/cgi/viewcontent.cgi?article=1476&amp;context=honr_theses,6/16/14,7529
A Defense of Parent Licensing,https://scholar.colorado.edu/honr_theses/931,Fulltext,A Defense of Parent Licensing.pdf,https://scholar.colorado.edu/cgi/viewcontent.cgi?article=1992&amp;context=honr_theses,4/30/15,7305
Deconstructing the Binary of Good and Evil: An Exploration of In Cold Blood and Columbine,https://scholar.colorado.edu/honr_theses/466,Fulltext,Deconstructing the Binary of Good and Evil An Exploration of In.pdf,https://scholar.colorado.edu/cgi/viewcontent.cgi?article=1661&amp;context=honr_theses,6/23/14,6814
Artificial Coral Reefs as a Method of Coral Reef Fish Conservation,https://scholar.colorado.edu/honr_theses/83,Fulltext,Artificial Coral Reefs as a Method of Coral Reef Fish Conservatio.pdf,https://scholar.colorado.edu/cgi/viewcontent.cgi?article=1082&amp;context=honr_theses,6/6/14,5941
Seeing With Eyes Unclouded: Representations of Creativity in the Works of Hayao Miyazaki,https://scholar.colorado.edu/honr_theses/726,Fulltext,Seeing With Eyes Unclouded Representations of Creativity in the.pdf,https://scholar.colorado.edu/cgi/viewcontent.cgi?article=1921&amp;context=honr_theses,12/2/14,5630
"Understanding the Cultural, Social, and Biological Environment Where Eating Disorders Thrive",https://scholar.colorado.edu/honr_theses/439,Fulltext,Understanding the Cultural Social and Biological Environment Wh.pdf,https://scholar.colorado.edu/cgi/viewcontent.cgi?article=1634&amp;context=honr_theses,6/23/14,5350
Colony Collapse Disorder: The Vanishing Honeybee (Apis Mellifera),https://scholar.colorado.edu/honr_theses/720,Fulltext,Colony Collapse Disorder The Vanishing Honeybee Apis Mellifera.pdf,https://scholar.colorado.edu/cgi/viewcontent.cgi?article=1915&amp;context=honr_theses,7/24/14,5286
Hate Speech in Social Media: An Exploration of the Problem and Its Proposed Solutions,https://scholar.colorado.edu/jour_gradetds/15,Fulltext,Hate Speech in Social Media An Exploration of the Problem and It.pdf,https://scholar.colorado.edu/cgi/viewcontent.cgi?article=1014&amp;context=jour_gradetds,1/13/17,5286
Negotiating Masculinity in Salinger's Catcher in the Rye,https://scholar.colorado.edu/honr_theses/1225,Fulltext,Negotiating Masculinity in Salinger s Catcher in the Rye.pdf,https://scholar.colorado.edu/cgi/viewcontent.cgi?article=2306&amp;context=honr_theses,5/13/16,5261
