Title,URL,First published,State,Total
,http://scholar.colorado.edu/homepage/1,2014-04-29,published,12
"""Anticipatory Language Processing: Direct Pre-Target Evidence from Event-Related Brain Potentials""",http://scholar.colorado.edu/ling_gradetds/11,2016-09-19,published,10
"""BEETHOVENNESS"" IN SCHUBERT'S LATE INSTRUMENTAL WORKS",http://scholar.colorado.edu/mkey_gradetds/5,2018-06-18,published,1
"""Beyond Twelfth Street"" : Visual Narratives and Realities in Detroit, Michigan",http://scholar.colorado.edu/arth_gradetds/22,2017-02-18,published,21
"""Big Government Get Off My Back Act"": A Policy Analysis of Missouri House Bill No. 45",http://scholar.colorado.edu/honr_theses/1529,2017-11-27,published,26
"""Catholic Gentry, Family Networks and Patronage in the English Midlands, c. 1570-1630""",http://scholar.colorado.edu/hist_gradetds/12,2016-10-05,published,25
"""Ce Jour Immortel"": The Storming of the Bastille and the Formation of Cultural Memory, 1789–1794",http://scholar.colorado.edu/honr_theses/1527,2017-11-27,published,40
"""Die Zelle meiner Kunst [...]"" Ästhetische Prinzipien der bildenden Kunst in Rainer Maria Rilkes Neuen Gedichten",http://scholar.colorado.edu/gsll_gradetds/13,2016-12-16,published,11
"""Difference in the Mouth"": Alimentality, Matter and Meaning in Foodways.",http://scholar.colorado.edu/geog_gradetds/121,2018-05-22,published,17
"""Do You Know Who I Am?"": Identities and Experiences of Undocumented 1.5-Generation Immigrants",http://scholar.colorado.edu/socy_gradetds/61,2018-10-11,published,34
"""Don’t Ruin My Pretend"": Kids Sustaining Play Interactions in Out-of-School Settings",http://scholar.colorado.edu/educ_gradetds/7,2016-06-23,published,22
"""For the Soldier, By the Soldier"": Self-produced Theater on Stateside U.S. Army Bases from 1983 - 2013",http://scholar.colorado.edu/thtr_gradetds/33,2017-03-16,published,15
"""Frack Off!"" Strategic Framing in Colorado's Grassroots Challenge to Oil and Gas",http://scholar.colorado.edu/honr_theses/1491,2017-05-09,published,27
